coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Roar-o-Saurus,"1,240 ft (380 m)",33 mph (53 km/h),Story Land,Operating,"May 24, 2014",Wood,The Gravity Group,,,40 ft (12 m),0,Chain Lift Hill,,6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,,,,,,,38 ft (12 m),,,,,,,,,,,,,,,,,,,,2014,44.1161,-71.1828,Wood,2014-05-24,33 mph ,53 km/h,33.0,mph,33.0,40.0,ft,,0,
Scorpion Express,259 m (850 ft),22.4 mph (36.0 km/h),Chessington World of Adventures,Operating,7 June 1987 as Runaway Train 19 March 2014 as Scorpion Express,Steel – Powered,Mack Rides,90 cm (2 ft 11 in),Blauer Enzian,4.7 m (15 ft),0,,"GB£300,000 (equivalent to £850,047 in 2019)",Single train with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,Mexicana,105 seconds,700 riders per hour,,,,,,,,,Fastrack available,,,,,,,,,,,,,,,2014,51.3494,-0.318,Steel,1987-06-07,22.4 mph ,36.0 km/h,22.4,mph,22.4,4.7,m,15.4,0,
Seven Dwarfs Mine Train,"2,000 ft (610 m)",34 mph (55 km/h),Other,,,Steel,Vekoma,38 in (97 cm),Custom,,0,Two chain lift hills,,5[4] trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,2:50,,,Walt Disney Imagineering,,39 ft (12 m),,,"20,000 Leagues Under the Sea: Submarine Voyage (1971–94) Ariel's Grotto (1996-2004) Pooh's Playful Spot (2005–10)","MK700 ""J""",,,,,,,,Must transfer from wheelchair,Snow White and the Seven Dwarfs,Single rider line available,,,,,Seven Dwarfs Mine Train七个小矮人矿山车,2014,,,Steel,,34 mph ,55 km/h,34.0,mph,34.0,,,,0,
Speed – The Ride,"1,365 ft (416 m)",70 mph (110 km/h),Other,,"April 28, 2000",Steel – Launched – Shuttle,Premier Rides,54 in (137 cm),,224 ft (68 m),1,,,,Nascar Café,0:45,1600 riders per hour,3.5,Werner Stengel,90°,,,,,,,,"May 1, 2011",,,,,,,,,,0 to 45 to 70mph,,,2014,,,Steel,2000-04-28,70 mph ,110 km/h,70.0,mph,70.0,224.0,ft,,1,3.5
Thunderbird (Holiday World),"3,035 ft (925 m)",60 mph (97 km/h),Holiday World & Splashin' Safari,Operating,"April 25, 2015",Steel – Wing Coaster – Launched,Bolliger & Mabillard,52–78 in (132–198 cm),Wing Coaster,140 ft (43 m),4,LSM,$22 million,2 trains with 5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,Thanksgiving,1:18,"1,140 riders per hour",,,,,"April 24, 2015",,,,,"April 24, 2015",,,,,,,,,,,0 to 60 mph (0 to 97 km/h) in 3.5 seconds,,,2014,38.1242,-86.909,Steel,2015-04-25,60 mph ,97 km/h,60.0,mph,60.0,140.0,ft,,4,
Thunderbolt (2014 roller coaster),"2,234 ft (681 m)",56 mph (90 km/h),Luna Park,Operating,"June 14, 2014",Steel,Zamperla,50 in (127 cm),,115 ft (35 m),4,Vertical chain lift,US$9 million,,,00:38,,4.3,,,112 ft (34 m),,,,,,,,,,,,,,,,,,,,2014,40.5735,-73.9826,Steel,2014-06-14,56 mph ,90 km/h,56.0,mph,56.0,115.0,ft,,4,4.3
Twist Coaster Robin,"313 m (1,027 ft)",62 km/h (39 mph),Yomiuriland,Removed,19 March 2014,Steel,Sansei Technologies,,,19 m (62 ft),2,,450 million yen,,,,,3.9,S&S Worldwide,93°,,,,,,,,19 March 2014,,Hashibiro GO!,,,,,,,,,,,2014,35.6253,139.5194,Steel,2014-03-19,62 km/h ,39 mph,62.0,km/h,38.5,19.0,m,62.3,2,3.9
Wonder Mountain's Guardian,"304.8 m (1,000 ft)",,Canada's Wonderland,Operating,"May 24, 2014",Steel,Art Engineering,107 cm (3 ft 6 in),4D Interactive Dark Ride,18.3 m (60 ft),0,Chain lift hill,"$10,000,000",5 trains with 2 cars. Riders are arranged 2 across in 2 rows for a total of 8 riders per train.,International Festival - Wonder Mountain,3 minutes and 30 seconds,650 riders per hour,,Triotech,,,,,,,,,,,,,,Must transfer from wheelchair,,,,,,,,2014,43.84,-79.54,Steel,2014-05-24,,,,,,18.3,m,60.0,0,
Zimerman (roller coaster),"1,565.0 ft (477.0 m)",55.0 mph (88.5 km/h),Other,,,Steel,Arrow Dynamics,,Looping roller coaster,70.0 ft (21.3 m),3,chain lift,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:20,,,,,65.0 ft (19.8 m),,,,,,,"October 25, 2005",,,,,,,,,,,,Revolution,2014,,,Steel,,55.0 mph ,88.5 km/h,55.0,mph,55.0,70.0,ft,,3,
Acrobat (roller coaster),"3,349.8 ft (1,021.0 m)",55.9 mph (90.0 km/h),Nagashima Spa Land,Operating,"July 18, 2015",Steel – Flying,Bolliger & Mabillard,135–198 cm (4 ft 5 in–6 ft 6 in),Flying Coaster (Manta),141.1 ft (43.0 m),4,Chain lift hill,,,,3:00,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,Steel,2015-07-18,55.9 mph ,90.0 km/h,55.9,mph,55.9,141.1,ft,,4,
Baron 1898,"501 m (1,644 ft)",90 km/h (56 mph),Efteling,Operating,"July 1, 2015[1]",Steel – Dive Coaster,Bolliger & Mabillard,52 in (132 cm),Dive Coaster,30 m (98 ft),2,Chain lift hill,€ 18 million[2],3 trains with 3 cars. Riders are arranged 6 across in a single row for a total of 18 riders per train.,,130 seconds[3],1000 riders per hour,,,87°,37.5 m (123 ft),,,,,,,,,,,,,,Single rider line available,,,,,,2015,51.6482,5.0508,Steel,2015-07-01,90 km/h ,56 mph,90.0,km/h,55.9,30.0,m,98.4,2,
Batman: The Ride (S&S Free Spin),"1,019 ft (311 m)",38 mph (61 km/h),Other,,,Steel – 4th Dimension – Wing Coaster,S&S – Sansei Technologies,48 in (122 cm),4D Free Spin,120 ft (37 m),6,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,,Alan Schilke,,54 ft (16 m),,,,,,,,,,,,,,,,Flash Pass available,,,,2015,,,Steel,,38 mph ,61 km/h,38.0,mph,38.0,120.0,ft,,6,
Cannibal (roller coaster),"2,735 ft (834 m)",70 mph (110 km/h),Lagoon,Operating,"July 2, 2015",Steel,Lagoon Corporation,48 in (122 cm),,208 ft (63 m),4,,$22 million,7[1] trains with a single car. Riders are arranged 4 across in 3 rows for a total of 12 riders per train.,North Midway,2:30,,4.2,Dal Freeman (Lagoon),116°,,,,,,,,,,,www.lagoonpark.com/ride/cannibal/,,,,,,,,,,2015,40.9874,-111.8955,Steel,2015-07-02,70 mph ,110 km/h,70.0,mph,70.0,208.0,ft,,4,4.2
Freestyle (roller coaster),"390.99 m (1,282.8 ft)",82 km/h (51 mph),Other,,,Steel – Stand-up,TOGO,140 cm (4 ft 7 in),Stand-up,26.8 m (88 ft),1,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:32,,,,,25.6 m (84 ft),,,,,,,"September 1, 2014",,Yukon Striker,,,,,,,,,,,2015,,,Steel,,82 km/h ,51 mph,82.0,km/h,51.0,26.8,m,87.9,1,
Fury 325,"6,602 ft (2,012 m)",95 mph (153 km/h),Carowinds,Operating,"March 28, 2015",Steel,Bolliger & Mabillard,54 in (137 cm),Hyper Coaster,325 ft (99 m),0,Chain lift hill,"$30,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Thrill Zone,,1470 riders per hour,,,81°,320 ft (98 m),"March 25, 2015",Fast Lane available,,,,"March 25, 2015",,,,,,,,,,,,,,2015,35.1055,-80.9425,Steel,2015-03-28,95 mph ,153 km/h,95.0,mph,95.0,325.0,ft,,0,
Harpy (Xishuangbanna Theme Park),"2,903.5 ft (885.0 m)",52.8 mph (85.0 km/h),Xishuangbanna Theme Park,Closed,"September 26, 2015",Steel – Flying,Bolliger & Mabillard,,Flying Coaster (Custom),131.3 ft (40.0 m),2,Chain lift hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,22.0277,100.742,Steel,2015-09-26,52.8 mph ,85.0 km/h,52.8,mph,52.8,131.3,ft,,2,
Impulse (roller coaster),"1,975 ft (602 m)",55 mph (89 km/h),Knoebels Amusement Resort,Operating,"April 25, 2015",Steel,Zierer,48 in (122 cm),Tower Speed Coaster,98 ft (30 m),4,Vertical chain lift hill,,"3 separate cars with 8 riders each, seated in 2 rows of 4 across",,1:20,,,,90°,,,,,,,,,,,,,,,,,,,,,2015,40.8798,-76.5018,Steel,2015-04-25,55 mph ,89 km/h,55.0,mph,55.0,98.0,ft,,4,
Jumbo Jet (Chelyuskintsev Park),,,Other,,,Steel,Anton Schwarzkopf,,Jet Star 3 / Jumbo Jet,56 ft (17 m),0,Electric spiral lift,,,,,,,Werner Stengel,,,,,,,,,,,WildCat,,,,,,,,,,,2015,,,Steel,,,,,,,56.0,ft,,0,
Junker (roller coaster),"2,821.5 ft (860.0 m)",64.9 mph (104.4 km/h),PowerPark,Operating,30 May 2015,Steel – Launched,Gerstlauer,130 cm (4 ft 3 in),Infinity Coaster,131.3 ft (40.0 m),3,Linear synchronous motor Launch,,,,1:00[1],,4.5,,,,,,,,,,,,,,,,,,,,0 to 104.4 km/h (0 to 65 mph) in 1.9 seconds,,,2015,63.2309,22.8555,Steel,2015-05-30,64.9 mph ,104.4 km/h,64.9,mph,64.9,131.3,ft,,3,4.5
Klondike Gold Mine (roller coaster),,,Other,,,Steel,Pinfari,,ZL42,,1,,,,,,,,Pinfari,,,,,,,,,,,,,,,,,,,,,,2015,,,Steel,,,,,,,,,,1,
Laff Trakk,"1,400 ft (430 m)",40 mph (64 km/h),Hersheypark,Operating,"May 23, 2015",Steel – Spinning,Maurer AG,42–76 in (107–193 cm),,51 ft (16 m),0,Chain,"$14,000,000[1]",,Midway America,1:10,850 riders per hour,,,,,,,,Indoor-Spinning Glow,,,,,,,,,,,,,,,,2015,40.2935,-76.6551,Steel,2015-05-23,40 mph ,64 km/h,40.0,mph,40.0,51.0,ft,,0,
Oblivion: The Black Hole,"1,856.9 ft (566.0 m)",62.2 mph (100.1 km/h),Gardaland,Operating,"March 28, 2015",Steel – Dive Coaster,Bolliger & Mabillard,140–195 cm (4 ft 7 in–6 ft 5 in),Dive Coaster,139.4 ft (42.5 m),2,Chain lift hill,,3 trains with 3 cars. Riders are arranged 6 across in a single row for a total of 18 riders per train.,Space Section,,1890 riders per hour,,,87°,,,,,,,,,,,,,,,,,,,,,2015,45.4582,10.7111,Steel,2015-03-28,62.2 mph ,100.1 km/h,62.2,mph,62.2,139.4,ft,,2,
Octonauts Rollercoaster Adventure,469.2 ft (143.0 m),,Alton Towers,Operating,"March 21, 2015",Steel,Zamperla,90 cm (2 ft 11 in),Junior Coaster,21.3 ft (6.5 m),0,Booster Wheel Lift hill,,Single train with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,CBeebies Land,,,,,,9.8 ft (3.0 m),,,Beastie,,,,,,,,,,,,,,,,,2015,,,Steel,2015-03-21,,,,,,21.3,ft,,0,
Puss in Boots' Giant Journey,"426 m (1,398 ft)",,Universal Studios Singapore,Operating,8 April 2015,Steel – Inverted,Zamperla,100 cm (3 ft 3 in),Custom,17 m (56 ft),0,Spiral Lift,,,Far Far Away,,,,,,,,,,,,,,,,,,,,,,,,,,2015,1.2545,103.8245,Steel,2015-04-08,,,,,,17.0,m,55.8,0,
Rewind Racers,593.8 ft (181.0 m),31.1 mph (50.1 km/h),Adventure City,Operating,"June 6, 2015; 6 years ago",Steel – Shuttle,Gerstlauer,39 in (99 cm),Family Coaster,39.3 ft (12.0 m),0,Chain lift hill,"$2,000,000",Single train with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,,,,,,,,,,Tree Top Racers,,,,,,,Official website,,,,,,,,,,2015,33.8151,-117.993,Steel,2015-06-06,31.1 mph ,50.1 km/h,31.1,mph,31.1,39.3,ft,,0,
Rougarou (roller coaster),"3,900 ft (1,200 m)",60 mph (97 km/h),Cedar Point,Operating,"May 9, 2015",Steel – Floorless Coaster,Bolliger & Mabillard,54–78 in (137–198 cm),Floorless Coaster,145 ft (44 m),4,Chain lift hill,"US$12,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Millennium Midway,2:40,1800 riders per hour,,Werner Stengel,52°,137 ft (42 m),,Fast Lane available,Mantis,,,,,,,,,,,,,,,,,2015,41.4826,-82.6874,Steel,2015-05-09,60 mph ,97 km/h,60.0,mph,60.0,145.0,ft,,4,
T3 (roller coaster),"2,171.9 ft (662.0 m)",49.7 mph (80.0 km/h),Kentucky Kingdom,Operating,"April 8, 1995",Steel – Inverted,Vekoma,52–79 in (132–201 cm),SLC (662m Prototype),101.7 ft (31.0 m),5,Chain lift hill,,2 trains with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,,1:36,900 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,2015,38.1941,-85.747,Steel,1995-04-08,49.7 mph ,80.0 km/h,49.7,mph,49.7,101.7,ft,,5,
Tempesto,863 ft (263 m),62 mph (100 km/h),Busch Gardens Williamsburg,Operating,"April 25, 2015",Steel – Launched,Premier Rides,54 in (137 cm),Sky Rocket II,150 ft (46 m),1,LSM Launch Track,,Single train with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,Festa Italia,,,,,,135 ft (41 m),,,,,,,,,,,,,,,,,,,,2015,37.2347,-76.6421,Steel,2015-04-25,62 mph ,100 km/h,62.0,mph,62.0,150.0,ft,,1,
The Cú Chulainn Coaster,"1,092 m (3,583 ft)",90 km/h (56 mph),Tayto Park,Operating,6 June 2015,Wood,The Gravity Group,,,32 m (105 ft),0,Chain lift hill,"€8,500,000",,,2:45,700 riders per hour,,,,31 m (102 ft),,,,,,,,,,,,,,,,,,,,2015,53.5427,-6.4628,Wood,2015-06-06,90 km/h ,56 mph,90.0,km/h,55.9,32.0,m,105.0,0,
The Oath of Kärnan,"1,235 m (4,052 ft)",127 km/h (79 mph),Hansa-Park,Operating,"July 1, 2015",Steel,Gerstlauer,130 cm (4 ft 3 in),Hypercoaster,73 m (240 ft),1,Chain lift hill,~ 26.000.000 €,3 trains with a single car. Riders are arranged 4 across in 4 rows for a total of 16 riders per train.,,3:37 minutes,~ 200 riders per hour,5,Werner Stengel,90°,67 m (220 ft),,,,Terrain,,,,,,,,,,,,,,,,2015,54.0769,10.78,Steel,2015-07-01,127 km/h ,79 mph,127.0,km/h,78.9,73.0,m,239.5,1,5.0
Turbulence (roller coaster),"1,253.3 ft (382.0 m)",40 mph (64 km/h),Adventureland (New York),Operating,"May 22, 2015; 6 years ago",Steel – Spinning,Mack Rides,44 in (112 cm),Spinning Coaster,55 ft (17 m),0,Chain lift hill,"$5,000,000",2 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,,,,,,,,Hurricane,,,,,,,Official website,,,,,,,,,,2015,40.7525,-73.4197,Steel,2015-05-22,40 mph ,64 km/h,40.0,mph,40.0,55.0,ft,,0,
Twisted Colossus,"4,990 ft (1,520 m)",57 mph (92 km/h),Six Flags Magic Mountain,Operating,"May 23, 2015[1]",Steel,Rocky Mountain Construction,48 in (122 cm),I-Box – Custom,121 ft (37 m),2,Chain lift hill,,4 (3 max. in use) trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Screampunk District,3:40,,,Alan Schilke,80°,128 ft (39 m),,,Colossus,Möbius Loop with one station,,,,,,,,Must transfer from wheelchair,,,,,,,,2015,34.4278,-118.5975,Steel,2015-05-23,57 mph ,92 km/h,57.0,mph,57.0,121.0,ft,,2,
Wicked Cyclone,"3,320 ft (1,010 m)",55 mph (89 km/h),Six Flags New England,Operating,"May 24, 2015",Steel,Rocky Mountain Construction,48 in (122 cm),I-Box,109 ft (33 m),3,Chain lift hill,US$10 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,North End,,,,Alan Schilke,78°,,,,Cyclone,Twister,,,,,,,,,,,,,,,,2015,42.0403,-72.6156,Steel,2015-05-24,55 mph ,89 km/h,55.0,mph,55.0,109.0,ft,,3,
ZDT's Amusement Park,,65 km/h (40 mph),ZDT's Amusement Park,Operating,"October 17, 2015",Wood,The Gravity Group,,,65 ft (20 m),0,Chain lift hill,,2 trains with 4 cars. Riders are arranged 2 across in a single row for a total of 8 riders per train.,,,700 riders per hour,,,87°,58 ft (18 m),,,,,,,,,,,,,,,,,,,,2015,,,Wood,2015-10-17,65 km/h ,40 mph,65.0,km/h,40.4,65.0,ft,,0,
Cobra's Curse,"2,100 ft (640 m)",40 mph (64 km/h),Busch Gardens Tampa Bay,Operating,"June 17, 2016",Steel – Spinning,Mack Rides,42[1] in (107 cm),,70 ft (21 m),0,Elevator liftWheel lift,,8 trains with 2 cars. Riders are arranged 2 across in 2 rows for a total of 8 riders per train.,Egypt,,1000 riders per hour,,,,,,,King Tut's Tomb,,,,,,,,,,,,,,,,,2016,,,Steel,2016-06-17,40 mph ,64 km/h,40.0,mph,40.0,70.0,ft,,0,
Flight of the Hippogriff,"1,099.1 ft (335.0 m)",28.5 mph (45.9 km/h),Other,,,Steel – Junior,"Vekoma (Orlando, Japan)Mack Rides (Hollywood, Beijing)",36 in (91 cm),"Junior Coaster (335m)[1] Youngstar Coaster (Hollywood, Beijing) [1]",42.7 ft (13.0 m),0,Drive tire,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:06,,,Universal Creative,,,,,,,,,,,,,,Must transfer from wheelchair,,,,,,,,2016,,,Steel,,28.5 mph ,45.9 km/h,28.5,mph,28.5,42.7,ft,,0,
Flying Aces (roller coaster),"1,500 m (4,921 ft)",120 km/h (75 mph),Ferrari World Abu Dhabi,Operating,24 February 2016,Steel,Intamin,130 cm (4 ft 3 in),Wing Coaster (Intamin),63 m (207 ft),1,Cable lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,,,"1,008 riders per hour",5,,,,,,,,,,,,,,,,,,,,,,,2016,,,Steel,2016-02-24,120 km/h ,75 mph,120.0,km/h,74.6,63.0,m,206.7,1,5.0
The Flying Dinosaur,"3,687.7 ft (1,124.0 m)",62 mph (100 km/h),Universal Studios Japan,Operating,"March 18, 2016",Steel – Flying,Bolliger & Mabillard,52–78 in (132–198 cm),Flying Coaster - Custom,151 ft (46 m),5,Chain lift hill,"JPY$10,000,000,000",4 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,,,,,,124 ft (38 m),,,,,,,,,,,,,,,,,,,,2016,34.6634,135.4305,Steel,2016-03-18,62 mph ,100 km/h,62.0,mph,62.0,151.0,ft,,5,
Formuła (Energylandia),"560 m (1,840 ft)",79.2 km/h (49.2 mph),Energylandia,Operating,25 June 2016,Steel – Launched,Vekoma,120–195[2] cm (3 ft 11 in–6 ft 5 in),Space Warp Launch Coaster,24.7 m (81 ft),3,LSM,,2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Extreme Zone,,,3.8,,,,,,,,,,,,,,,,,,,,0–100kph (62.1 mph) in 1.2 seconds,,,2016,,,Steel,2016-06-25,79.2 km/h ,49.2 mph,79.2,km/h,49.2,24.7,m,81.0,3,3.8
The Joker (Six Flags Discovery Kingdom),"3,200 ft (980 m)",53 mph (85 km/h),Six Flags Discovery Kingdom,Operating,"May 29, 2016",Other,Rocky Mountain Construction,,I-Box,100 ft (30 m),3,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,DC Universe,2:00,,,Alan Schilke,78°,,"May 25, 2016",,Roar,I-Box,,"May 25, 2016",,,,,,Must transfer from wheelchair,,,,,,,,2016,,,Other,2016-05-29,53 mph ,85 km/h,53.0,mph,53.0,100.0,ft,,3,
Lightning Rod (roller coaster),"3,800 ft (1,200 m)",73 mph (117 km/h),Dollywood,Operating,"June 13, 2016",Steel – Launched,Rocky Mountain Construction,48 in (122 cm),Topper and I-Box Track,,0,Linear Synchronous Motor,$22 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Jukebox Junction,3:12[1],,3.5[2],Alan Schilke,73°,165 ft (50 m),,,,Terrain,,,,,,,,,,Single rider line available,,,,,,2016,,,Steel,2016-06-13,73 mph ,117 km/h,73.0,mph,73.0,,,,0,3.5
Lost Gravity (roller coaster),"680 m (2,230 ft)",87 km/h (54 mph),Walibi Holland,Operating,24 March 2016,Steel,Mack Rides,140 cm (4 ft 7 in),BigDipper,32 m (105 ft),2,Chain lift hill,,4 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,Zero Zone,2:33,800 riders per hour,4.3,,90°,,,,,,,,,,,,,,,,,,,,,2016,52.4424,5.7663,Steel,2016-03-24,87 km/h ,54 mph,87.0,km/h,54.1,32.0,m,105.0,2,4.3
Mako (roller coaster),"4,760 ft (1,450 m)",73 mph (117 km/h),SeaWorld Orlando,Operating,"June 10, 2016",Steel,Bolliger & Mabillard,54[1] in (137 cm),Hyper Coaster,200 ft (61 m),0,Chain,,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Sea of Mystery,,,,,,200 ft (61 m),"June 2, 2016",,,Out and back,,"June 2, 2016",,,,,,,,,,,,,,2016,28.4095,-81.4591,Steel,2016-06-10,73 mph ,117 km/h,73.0,mph,73.0,200.0,ft,,0,
The Monster (Adventureland),"762 m (2,500 ft)",105 km/h (65 mph),Adventureland (Iowa),Operating,"June 4, 2016",Steel,Gerstlauer,48 in (122 cm),Infinity Coaster,40.6 m (133 ft),5,Vertical Chain Lift Hill,$9 million,,,2 minutes,3 cars - 8 riders each - 720 riders per hour,,,101°,,,,River Rapids Log Flume,Infinity Coaster - Custom,,,,,,,,,,,,,,,,2016,41.6518,-93.5014,Steel,2016-06-04,105 km/h ,65 mph,105.0,km/h,65.2,40.6,m,133.2,5,
Pulsar (roller coaster),217 m (712 ft),101 km/h (63 mph),Walibi Belgium,Operating,4 June 2016,Steel – Launched – Shuttle,Mack Rides,,PowerSplash,45 m (148 ft),0,LSM launch,"€8,500,000",2 trains with a single car. Riders are arranged 4 across in 5 rows for a total of 20 riders per train.,,1:18,950 riders per hour,,,90°,,,,,,,,,,,,,,,,,,,,,2016,50.6988,4.5903,Steel,2016-06-04,101 km/h ,63 mph,101.0,km/h,62.8,45.0,m,147.6,0,
Raik,689 ft (210 m),38.5 mph (62.0 km/h),Phantasialand,Operating,30 June 2016,Steel – Shuttle,Vekoma,,Junior Boomerang,82 ft (25 m),0,Drive tire lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Klugheim,,720 riders per hour,,,,,,,Silvermine,,,,,,,,,,,,,,,,,2016,50.7996,6.8828,Steel,2016-06-30,38.5 mph ,62.0 km/h,38.5,mph,38.5,82.0,ft,,0,
Recoil (Wonderla Hyderabad),935 ft (285 m),47 mph (76 km/h),Other,,,Steel – Shuttle,Vekoma,48 in (122 cm),Boomerang,116.5 ft (35.5 m),3,,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:48,760 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,2016,,,Steel,,47 mph ,76 km/h,47.0,mph,47.0,116.5,ft,,3,
Seven Dwarfs Mine Train,"2,000 ft (610 m)",34 mph (55 km/h),Other,,,Steel,Vekoma,38 in (97 cm),Custom,,0,Two chain lift hills,,5[4] trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,2:50,,,Walt Disney Imagineering,,39 ft (12 m),,,"20,000 Leagues Under the Sea: Submarine Voyage (1971–94) Ariel's Grotto (1996-2004) Pooh's Playful Spot (2005–10)","MK700 ""J""",,,,,,,,Must transfer from wheelchair,Snow White and the Seven Dwarfs,Single rider line available,,,,,Seven Dwarfs Mine Train七个小矮人矿山车,2016,,,Steel,,34 mph ,55 km/h,34.0,mph,34.0,,,,0,
Storm Chaser (roller coaster),"2,744 ft (836 m)",52 mph (84 km/h),Kentucky Kingdom,Operating,"April 30, 2016",Steel,Rocky Mountain Construction,,I-Box – Custom,100 ft (30 m),3,Chain lift hill,$10 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:40,960 riders per hour,3.8,Alan Schilke,78°,,"April 28, 2016",,Twisted Twins,,,"April 28, 2016",,,,,,,,,,,,,,2016,38.1958,-85.7503,Steel,2016-04-30,52 mph ,84 km/h,52.0,mph,52.0,100.0,ft,,3,3.8
Taron (roller coaster),"1,320 m (4,330 ft)",117 km/h (73 mph),Phantasialand,Operating,30 June 2016,Steel,Intamin,130 cm (4 ft 3 in),LSM Blitz Coaster,30.0 m (98.4 ft),,LSM,,4 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Klugheim,,"1,200 riders per hour",,,,,29 June 2016,,Silvermine (Westernstadt),,,29 June 2016,,,,,,,,,,,,,,2016,50.7996,6.8828,Steel,2016-06-30,117 km/h ,73 mph,117.0,km/h,72.7,30.0,m,98.4,0,
The Joker (Six Flags Great Adventure),"1,019 ft (311 m)",38 mph (61 km/h),Other,,,Steel – 4th Dimension – Wing Coaster,S&S – Sansei Technologies,48 in (122 cm),4D Free Spin,120 ft (37 m),6,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,,Alan Schilke,,54 ft (16 m),,,,,,,,,,,,,,Single rider line available,,Flash Pass available,,,,2016,,,Steel,,38 mph ,61 km/h,38.0,mph,38.0,120.0,ft,,6,
Tron Lightcycle Power Run,"3,169.3 ft (966.0 m)",59.3[1] mph (95.4 km/h),Other,,"June 16, 2016",Steel – Launched,Vekoma,4[2] ft (122 cm),Motorbike roller coaster,78.1 ft (23.8 m),0,LIM Launch,,7 trains with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,,~2:00,"1,680 riders per hour",4,Walt Disney Imagineering,,,,,,,,,,,,,,Must transfer from wheelchair,Tron,Single rider line available,,,,,TRON Lightcycle / Run,2016,,,Steel,2016-06-16,59.3 mph ,95.4 km/h,59.3,mph,59.3,78.1,ft,,0,4.0
Valravn (roller coaster),"3,415 ft (1,041 m)",75 mph (121 km/h),Cedar Point,Operating,"May 7, 2016",Steel – Dive Coaster,Bolliger & Mabillard,52–78 in (132–198 cm),Dive Coaster,223 ft (68 m),3,Chain lift hill,,3 trains with 3 cars. Riders are arranged 8 across in a single row for a total of 24 riders per train.,Main Midway,2:23,"1,200 riders per hour",,,90°,214 ft (65 m),"May 6, 2016",,Good Time TheatreTurnpike Cars[1],,,"May 6, 2016",,,,,,,,,,,,,,2016,41.4813,-82.684,Steel,2016-05-07,75 mph ,121 km/h,75.0,mph,75.0,223.0,ft,,3,
